name,pc1,pc2,pc3
Kyrie Irving,20.97273718,-17.19124629,9.972442087
J.R. Smith,9.682052064,-4.058233306,-4.751480139
LeBron James,125.3476982,5.077077977,-10.77986782
Archie Goodwin,-17.95506573,-5.589031075,5.536286341
Quincy Acy,-15.68515955,9.547440911,-5.534990042
John Lucas III,-14.226749,-13.24971401,-3.091378933
Ty Lawson,20.26973256,-12.63752287,-4.964007073
Metta World Peace,-33.22236601,-0.82123046,-0.340629787
JaVale McGee,-7.418226938,13.81806661,8.709723785
Alan Anderson,-14.53375159,-1.784050053,-5.244946019
Jerryd Bayless,-4.811778347,-11.3801367,-2.287198443
Dion Waiters,-12.92878348,-10.46005303,8.961876004
Kevin Seraphin,-19.9889312,2.789666417,11.02451352
Damjan Rudez,-21.20356765,-1.137218207,-14.71025374
Beno Udrih,4.41051376,-9.753154699,-4.736065648
Tyler Zeller,-7.977946202,8.428024716,5.212198029
Steve Novak,-8.382572432,6.872596688,-20.67344253
Ryan Kelly,-17.19481303,-0.761280219,-6.071823493
Kris Humphries,-5.45353996,10.1215472,4.05440111
Dwight Howard,37.58678208,18.88572498,5.870646823
Kent Bazemore,-18.72356085,-6.604650681,-1.358762438
Paul Millsap,24.48976103,9.213654035,3.107962531
Mike Muscala,-15.12248311,7.484433794,-2.597775945
Tiago Splitter,-1.066525003,11.39472503,2.96725152
Kyle Korver,16.13850245,4.29931363,-19.11110675
Thabo Sefolosha,-11.40909464,3.571922281,-9.897283704
Tim Hardaway,-10.68277774,-3.456787623,-4.009839777
Dennis Schroder,-9.334894822,-24.36879363,7.475619918
Mike Scott,-10.71767711,0.831657142,0.495191536
Jared Sullinger,-6.783914522,0.906211151,9.601895197
DeMar DeRozan,16.95909477,-1.030700118,11.33744038
Cory Joseph,-9.258109306,-4.415333658,-3.224894669
DeMarre Carroll,-7.742487074,5.516560182,-6.004873907
Terrence Ross,-12.06248863,-0.490525143,-5.64363125
Jonas Valanciunas,2.104356423,16.16250866,6.640970695
Kyle Lowry,29.28730363,-9.769643979,-9.591912431
Patrick Patterson,-4.821147634,7.02720954,-6.025324239
Brian Roberts,-8.274573123,-12.43177193,-3.731602296
Marvin Williams,9.444024089,9.092508862,-6.351859385
Roy Hibbert,-4.952006655,5.533403818,10.46803149
Ramon Sessions,9.538924457,-11.51581728,2.312728951
Nicolas Batum,9.324284984,-1.883750239,-9.802327548
Marco Belinelli,-4.944722745,-2.873023516,-5.933493716
Spencer Hawes,-10.95005662,-1.86971937,4.753844532
Jeremy Lamb,-12.27465012,-3.14715891,-0.948184424
Cody Zeller,-10.55617783,7.706861589,2.192891042
Kemba Walker,8.180129793,-18.77501551,7.631151166
Michael Kidd-Gilchrist,-12.25601033,5.882059243,5.55318123
Isaiah Canaan,-14.13946316,-9.188600774,-7.241996734
Dwyane Wade,67.35958983,-5.541709978,7.885439876
Rajon Rondo,8.67311993,-22.9944173,0.644338638
Robin Lopez,6.030381414,18.11566481,0.883401401
Jimmy Butler,11.42513194,3.400101364,-1.371842703
Doug McDermott,-15.47289647,2.870127217,-3.639959013
Michael Carter-Williams,-10.92925464,-24.16525244,15.20126263
Nikola Mirotic,-9.307429617,-1.954246335,-2.224219759
Taj Gibson,-3.932746028,10.36060187,5.829825345
Jason Terry,-22.84900457,1.07689714,-14.46129657
Miles Plumlee,-16.59898623,12.61697439,2.935421902
Matthew Dellavedova,-11.22031639,-11.21959883,-12.35868294
Mirza Teletovic,-11.56496321,-1.973856471,-5.657413915
Michael Beasley,-10.85150677,-4.100187317,17.4730885
Greg Monroe,12.92932983,7.746476055,11.8747456
Khris Middleton,-2.477603772,-5.172549724,1.205103674
Jabari Parker,-8.813690557,1.530598419,13.91113557
Giannis Antetokounmpo,-5.342810807,-3.052339999,6.708187739
John Henson,-11.17636484,6.712910948,9.753740777
Tony Snell,-21.07691565,-1.230018322,-8.932229678
Gerald Green,-9.949350405,-3.680914203,1.314358051
Al Horford,22.74640741,8.229987511,2.243591803
Amir Johnson,8.490194708,15.76405255,-4.85730429
Jonas Jerebko,-8.618479151,8.330259486,-3.595133046
Jae Crowder,-10.49661891,1.907902806,-7.150914349
Marcus Smart,-15.74478682,-8.031509717,-5.489650284
Isaiah Thomas,22.70416827,-13.62764631,0.711975259
Kelly Olynyk,-9.057011246,-1.21326759,3.055367781
Avery Bradley,-13.27981845,-5.351952552,4.246187675
Andre Drummond,0.075524308,16.3221748,15.34974162
Ish Smith,-15.3889803,-23.05830919,5.085400838
Jon Leuer,-13.18327525,4.397731611,1.962120929
Reggie Jackson,2.707235609,-16.95188619,4.488010443
Tobias Harris,-2.02527616,2.229039874,5.907078506
Aron Baynes,-12.69472416,11.07282039,4.316357774
Marcus Morris,-8.094525607,-0.006163829,-1.810307634
Reggie Bullock,-22.61581352,1.971916741,-13.9102337
Kentavious Caldwell-Pope,-11.62205865,-0.114853722,-2.285067486
Anthony Bennett,-22.2540641,0.823829965,2.907331778
Randy Foye,-0.147907527,-8.140372545,-5.426332492
Greivis Vasquez,-3.339761518,-21.70515416,-2.586962255
Luis Scola,7.172408225,4.991200064,9.48120297
Trevor Booker,-7.837679704,11.18091869,-0.350258486
Jeremy Lin,-0.600179752,-14.74712078,1.063592034
Brook Lopez,20.79074366,9.949138889,15.74499782
Bojan Bogdanovic,-14.25662444,-0.409132943,-2.04895229
Evan Fournier,-7.259950106,-4.219093823,-1.488338072
D.J. Augustin,7.536080423,-12.79678661,-8.105176574
Jeff Green,-1.932121287,0.692143572,4.611393902
Bismack Biyombo,-17.55723473,15.46914806,-3.055104204
Nikola Vucevic,1.393105338,3.671214915,16.71552275
C.J. Watson,-3.832534088,-6.346086344,-7.618462065
Elfrid Payton,-10.02617451,-20.079614,6.267191301
Aaron Gordon,-12.57914443,4.465445759,0.028399356
Serge Ibaka,7.800986747,15.2324632,0.780464873
Jodie Meeks,-4.017287808,2.587833495,-9.149455784
Aaron Brooks,-1.126453888,-14.32877966,-0.550260365
Al Jefferson,23.94016662,9.268744131,14.83962911
Rodney Stuckey,6.782474572,-8.65547167,6.784273013
Lavoy Allen,-14.84771657,8.005630893,-0.291816395
Monta Ellis,12.12947098,-11.5620226,10.49324804
Thaddeus Young,8.006004028,6.726181361,8.294138942
Jeff Teague,8.606632113,-17.79158062,2.176683765
Paul George,5.15267684,-8.647452218,5.093986414
C.J. Miles,-4.853203101,-2.065413476,-2.025011186
Sasha Vujacic,-10.51568433,-2.744427688,-11.70391581
Brandon Jennings,6.658838131,-20.22310118,3.550153732
Lance Thomas,-18.38924652,5.040464263,-1.373561144
Courtney Lee,-2.894156519,2.331692476,-6.502934059
Joakim Noah,9.58878193,8.691711194,-0.506781173
Justin Holiday,-21.11238448,-5.234665736,-5.620930568
Kyle O'Quinn,-14.78847095,1.206715328,4.027292964
Carmelo Anthony,54.53752442,3.049299953,11.0635247
Derrick Rose,14.3659917,-20.02702907,15.48731164
